Feature,Importance
Calculated_Botnet_Score,0.2588016651513156
packets_per_ip,0.1822409386352137
Device_CPU_Usage_Pct,0.17844036068779628
Avg_Packet_Size_Bytes,0.1588362277285444
high_risk_device,0.07803755095025029
Threat_Classification_SAFE_Benign_Activity,0.061902521635962375
Outbound_Packets_Sec,0.04367953023351198
network_bandwidth_est,0.031234674230520443
Threat_Classification_CRITICAL_DDoS_Active,0.004988335730248798
Unique_Dest_IPs,0.001837881736284641
Device_Category_Industrial_Sensor,2.1278069796652234e-07
Threat_Classification_WARNING_Suspicious_Outbound,1.0049965369058033e-07
Device_Category_Plug_Switch,0.0
Device_Category_Smart_Camera,0.0
cpu_intensity_per_packet,0.0
