Device_ID,Device_Category,Outbound_Packets_Sec,Avg_Packet_Size_Bytes,Unique_Dest_IPs,Device_CPU_Usage_Pct,Calculated_Botnet_Score,Threat_Classification,Is_Compromised_Label
IOT_DEV_000001,Plug_Switch,2.47,584.9,3,23.8,0,SAFE_Benign_Activity,0
IOT_DEV_000002,Plug_Switch,3.14,593.3,2,20.6,0,SAFE_Benign_Activity,0
IOT_DEV_000003,Plug_Switch,0.79,347,1,6.1,0,SAFE_Benign_Activity,0
IOT_DEV_000004,Plug_Switch,4.36,456,5,20.9,0,SAFE_Benign_Activity,0
IOT_DEV_000005,Plug_Switch,4.1,545.6,2,24.3,0,SAFE_Benign_Activity,0
IOT_DEV_000006,Plug_Switch,1315,89.7,1,77.8,100,CRITICAL_DDoS_Active,1
IOT_DEV_000007,Smart_Camera,4.6,548.3,3,23.6,0,SAFE_Benign_Activity,0
IOT_DEV_000008,Industrial_Sensor,17.09,543.9,2,21.3,0,SAFE_Benign_Activity,0
IOT_DEV_000009,Smart_Camera,3.34,615.9,1,10.9,0,SAFE_Benign_Activity,0
IOT_DEV_000010,Plug_Switch,840.94,89.7,1,90.7,100,CRITICAL_DDoS_Active,1
IOT_DEV_000011,Industrial_Sensor,2.72,532.8,1,24.1,2.3,SAFE_Benign_Activity,0
IOT_DEV_000012,Industrial_Sensor,1.92,413.4,2,10.9,0,SAFE_Benign_Activity,0
IOT_DEV_000013,Industrial_Sensor,5.67,478.1,8,20.6,0,SAFE_Benign_Activity,0
IOT_DEV_000014,Industrial_Sensor,5.82,609.9,1,11.1,0,SAFE_Benign_Activity,0
IOT_DEV_000015,Plug_Switch,1.67,551.8,3,10.1,0,SAFE_Benign_Activity,0
IOT_DEV_000016,Smart_Camera,2.37,527.6,4,25,0,SAFE_Benign_Activity,0
IOT_DEV_000017,Industrial_Sensor,13.04,428,3,5.9,0,SAFE_Benign_Activity,0
IOT_DEV_000018,Smart_Camera,2.2,423.1,3,9.6,0,SAFE_Benign_Activity,0
IOT_DEV_000019,Industrial_Sensor,10.48,446.6,5,11.3,0,SAFE_Benign_Activity,0
IOT_DEV_000020,Plug_Switch,15.56,411.4,2,21.1,0,SAFE_Benign_Activity,0
IOT_DEV_000021,Plug_Switch,5.35,317.6,5,7,0,SAFE_Benign_Activity,0
IOT_DEV_000022,Industrial_Sensor,16.36,473.5,1,22.7,3,SAFE_Benign_Activity,0
IOT_DEV_000023,Smart_Camera,3.67,434.6,1,6.1,0,SAFE_Benign_Activity,0
IOT_DEV_000024,Plug_Switch,3.3,560.2,1,7.8,0,SAFE_Benign_Activity,0
IOT_DEV_000025,Smart_Camera,5.05,201.7,1,13.1,0,SAFE_Benign_Activity,0
IOT_DEV_000026,Plug_Switch,5.57,647.5,3,15.6,0,SAFE_Benign_Activity,0
IOT_DEV_000027,Industrial_Sensor,1.48,672.2,4,22.8,0,SAFE_Benign_Activity,0
IOT_DEV_000028,Plug_Switch,6.94,266.2,2,19.3,0,SAFE_Benign_Activity,0
IOT_DEV_000029,Smart_Camera,9.57,589.7,1,6,0,SAFE_Benign_Activity,0
IOT_DEV_000030,Smart_Camera,12.39,471.1,3,11.3,0,SAFE_Benign_Activity,0
IOT_DEV_000031,Industrial_Sensor,6.34,483.4,1,10.7,0,SAFE_Benign_Activity,0
IOT_DEV_000032,Industrial_Sensor,7.79,462.5,1,12.7,0,SAFE_Benign_Activity,0
IOT_DEV_000033,Industrial_Sensor,8.16,425.9,4,7.2,0,SAFE_Benign_Activity,0
IOT_DEV_000034,Plug_Switch,10.36,462.3,7,11,0,SAFE_Benign_Activity,0
IOT_DEV_000035,Industrial_Sensor,6.98,392.2,3,11.9,0,SAFE_Benign_Activity,0
IOT_DEV_000036,Smart_Camera,1.62,552,1,13.4,0,SAFE_Benign_Activity,0
IOT_DEV_000037,Smart_Camera,6.27,378.3,2,9.6,0,SAFE_Benign_Activity,0
IOT_DEV_000038,Plug_Switch,5.92,413.2,6,17.3,0,SAFE_Benign_Activity,0
IOT_DEV_000039,Plug_Switch,2.08,545.9,4,15.3,0,SAFE_Benign_Activity,0
IOT_DEV_000040,Industrial_Sensor,1.48,514.6,4,21.8,0,SAFE_Benign_Activity,0
IOT_DEV_000041,Plug_Switch,6.38,391.2,2,12.7,0,SAFE_Benign_Activity,0
IOT_DEV_000042,Plug_Switch,5.79,514.4,3,24.3,0,SAFE_Benign_Activity,0
IOT_DEV_000043,Smart_Camera,9.39,548,2,13.6,0,SAFE_Benign_Activity,0
IOT_DEV_000044,Plug_Switch,7.64,482.4,2,12.8,0,SAFE_Benign_Activity,0
IOT_DEV_000045,Plug_Switch,2.98,591.1,3,9.6,0,SAFE_Benign_Activity,0
IOT_DEV_000046,Smart_Camera,0.95,355.4,7,22.7,0,SAFE_Benign_Activity,0
IOT_DEV_000047,Smart_Camera,9.84,224.6,5,12.3,0,SAFE_Benign_Activity,0
IOT_DEV_000048,Industrial_Sensor,5.94,431.8,2,6.3,0,SAFE_Benign_Activity,0
IOT_DEV_000049,Industrial_Sensor,9.16,466.3,1,20.6,1.2,SAFE_Benign_Activity,0
IOT_DEV_000050,Plug_Switch,5.77,475,2,21,0,SAFE_Benign_Activity,0
IOT_DEV_000051,Plug_Switch,2.46,449.8,2,21.6,0,SAFE_Benign_Activity,0
IOT_DEV_000052,Industrial_Sensor,1.71,738.2,3,15.9,0,SAFE_Benign_Activity,0
IOT_DEV_000053,Industrial_Sensor,5.35,270.8,4,23.3,0,SAFE_Benign_Activity,0
IOT_DEV_000054,Industrial_Sensor,2.66,583.9,4,7.1,0,SAFE_Benign_Activity,0
IOT_DEV_000055,Smart_Camera,19.41,615,3,17.4,0,SAFE_Benign_Activity,0
IOT_DEV_000056,Smart_Camera,13.9,359.2,2,14.9,0,SAFE_Benign_Activity,0
IOT_DEV_000057,Plug_Switch,1.2,629.8,2,7.6,0,SAFE_Benign_Activity,0
IOT_DEV_000058,Smart_Camera,3.14,576,3,11.4,0,SAFE_Benign_Activity,0
IOT_DEV_000059,Smart_Camera,20.1,597.5,4,21.7,0,SAFE_Benign_Activity,0
IOT_DEV_000060,Industrial_Sensor,6.41,317.7,5,11.1,0,SAFE_Benign_Activity,0
IOT_DEV_000061,Smart_Camera,5.47,533.4,5,16.9,0,SAFE_Benign_Activity,0
IOT_DEV_000062,Smart_Camera,9,543.8,4,18.1,0,SAFE_Benign_Activity,0
IOT_DEV_000063,Industrial_Sensor,8.23,389.4,4,12.2,0,SAFE_Benign_Activity,0
IOT_DEV_000064,Smart_Camera,7.03,597.9,2,18.7,0,SAFE_Benign_Activity,0
IOT_DEV_000065,Smart_Camera,2.28,447.3,2,24.2,0,SAFE_Benign_Activity,0
IOT_DEV_000066,Industrial_Sensor,3.96,430.2,1,20.4,0.6,SAFE_Benign_Activity,0
IOT_DEV_000067,Plug_Switch,5.13,296,3,8.2,0,SAFE_Benign_Activity,0
IOT_DEV_000068,Plug_Switch,1.68,806.7,4,19.1,0,SAFE_Benign_Activity,0
IOT_DEV_000069,Industrial_Sensor,5.84,495.4,2,10.5,0,SAFE_Benign_Activity,0
IOT_DEV_000070,Smart_Camera,3.52,482.1,5,15.4,0,SAFE_Benign_Activity,0
IOT_DEV_000071,Industrial_Sensor,12.33,425.7,4,18.7,0,SAFE_Benign_Activity,0
IOT_DEV_000072,Plug_Switch,14.94,552.8,2,5.7,0,SAFE_Benign_Activity,0
IOT_DEV_000073,Smart_Camera,6.09,611.5,4,7.4,0,SAFE_Benign_Activity,0
IOT_DEV_000074,Smart_Camera,8.13,451.8,1,9.3,0,SAFE_Benign_Activity,0
IOT_DEV_000075,Industrial_Sensor,11.25,561.7,4,12.5,0,SAFE_Benign_Activity,0
IOT_DEV_000076,Industrial_Sensor,12.71,601.9,4,5.6,0,SAFE_Benign_Activity,0
IOT_DEV_000077,Smart_Camera,0.48,662.3,3,14.2,0,SAFE_Benign_Activity,0
IOT_DEV_000078,Smart_Camera,0.74,631,2,18.2,0,SAFE_Benign_Activity,0
IOT_DEV_000079,Plug_Switch,3.42,547.8,5,6.3,0,SAFE_Benign_Activity,0
IOT_DEV_000080,Smart_Camera,12,544.4,1,15.2,0,SAFE_Benign_Activity,0
IOT_DEV_000081,Plug_Switch,13.65,479.1,3,5.6,0,SAFE_Benign_Activity,0
IOT_DEV_000082,Industrial_Sensor,7.82,593,3,18.7,0,SAFE_Benign_Activity,0
IOT_DEV_000083,Plug_Switch,8.56,445,3,13.1,0,SAFE_Benign_Activity,0
IOT_DEV_000084,Industrial_Sensor,3.2,561.6,4,5.3,0,SAFE_Benign_Activity,0
IOT_DEV_000085,Plug_Switch,5.95,351.3,2,24.6,0,SAFE_Benign_Activity,0
IOT_DEV_000086,Plug_Switch,8.17,313,3,16.7,0,SAFE_Benign_Activity,0
IOT_DEV_000087,Plug_Switch,12.02,576.2,4,21.2,0,SAFE_Benign_Activity,0
