Device_ID,threat_score,predicted_compromise,threat_category
IOT_DEV_047045,0.0004595145190792157,0,Low Threat
IOT_DEV_044296,0.00011769218091351595,0,Low Threat
IOT_DEV_074784,0.00011714313228636498,0,Low Threat
IOT_DEV_070976,0.00037575354695539124,0,Low Threat
IOT_DEV_046646,0.0005234742475062883,0,Low Threat
IOT_DEV_008216,0.0002514508762008066,0,Low Threat
IOT_DEV_065510,0.0002514556446605389,0,Low Threat
IOT_DEV_062716,0.0002103615263769755,0,Low Threat
IOT_DEV_039860,0.00012340998510406714,0,Low Threat
IOT_DEV_058835,0.00026385782372000946,0,Low Threat
IOT_DEV_053520,0.00010677377976985114,0,Low Threat
IOT_DEV_000834,5.967238568292601e-05,0,Low Threat
IOT_DEV_051038,0.00017509926140026717,0,Low Threat
IOT_DEV_054369,0.00023523555177164704,0,Low Threat
IOT_DEV_025541,0.00027097449588205503,0,Low Threat
IOT_DEV_036507,4.713265771915123e-05,0,Low Threat
IOT_DEV_042404,0.0001257176977481695,0,Low Threat
IOT_DEV_052594,0.0006405325211207984,0,Low Threat
IOT_DEV_041792,0.00021933306994561592,0,Low Threat
IOT_DEV_028276,0.000415464804605356,0,Low Threat
IOT_DEV_004088,0.00010343968052427168,0,Low Threat
IOT_DEV_006917,0.00037556386550789786,0,Low Threat
IOT_DEV_062123,0.0004053174093081075,0,Low Threat
IOT_DEV_041374,6.649994055890496e-05,0,Low Threat
IOT_DEV_036982,0.00018592923543045268,0,Low Threat
IOT_DEV_018710,4.2752803463927775e-05,0,Low Threat
IOT_DEV_052898,0.00015121917707592764,0,Low Threat
IOT_DEV_028128,6.616766919115989e-05,0,Low Threat
IOT_DEV_009919,0.0006526581511768756,0,Low Threat
IOT_DEV_010119,7.868998197096716e-05,0,Low Threat
IOT_DEV_001697,8.324773041288062e-05,0,Low Threat
IOT_DEV_050601,0.0002293033536394956,0,Low Threat
IOT_DEV_029167,7.69924551403896e-05,0,Low Threat
IOT_DEV_032279,9.656222249382848e-05,0,Low Threat
IOT_DEV_012270,0.0003678876356458888,0,Low Threat
IOT_DEV_070017,0.00046248097000936187,0,Low Threat
IOT_DEV_017052,0.00020050306015781746,0,Low Threat
IOT_DEV_059652,0.00016218770221925632,0,Low Threat
IOT_DEV_056075,0.0002817334579824617,0,Low Threat
IOT_DEV_037446,0.0005907822533189848,0,Low Threat
IOT_DEV_064263,2.5435767229938892e-05,0,Low Threat
IOT_DEV_002914,0.00020951528636362855,0,Low Threat
IOT_DEV_047330,0.0001330129017772223,0,Low Threat
IOT_DEV_076267,6.156131311329387e-05,0,Low Threat
IOT_DEV_009404,0.0002787108921119652,0,Low Threat
IOT_DEV_035442,7.749600571938123e-05,0,Low Threat
IOT_DEV_057671,0.00012772540756736256,0,Low Threat
IOT_DEV_029396,9.905465705699625e-05,0,Low Threat
IOT_DEV_057433,6.89984611360174e-05,0,Low Threat
